id	Pedido	Cliente	DATA_PEDIDO	DTA_CRIA_OM	DTA_LIBERACAO_CREDITO	DATA_EST_PICK	STATUS	DATA_GERACAO_NF	DAT_MINUTA	Editora	sku	volume	peso	valor	NF
ATI33136	33136	FORMA CERTA GRAFICA DIGITAL LTDA	01/11/2016	31/10/2016	12/11/94	31/10/2016	INICIAL	01/11/2016	01/11/2016	ATICA	1	998	464,07	10132,69	250276
ATI33138	33138	FORMA CERTA GRAFICA DIGITAL LTDA	01/11/2016	31/10/2016		31/10/2016	FINALIZADO	01/11/2016	01/11/2016	ATICA	1	2544	1437,36	56807,52	250278
SER1346209	1346209	CRINTAL CHARITAS LTDA - ME	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	01/11/2016	01/11/2016	SER	31	31	12,994	55,28	250328
SER1346160	1346160	PAULO HENRIQUE GARCIA MENTE	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	02/11/2016	04/11/2016	SER	43	51	23,551	93,94	250366
ATI33165	33165	FELK MANUSEIO GRAFICO E PROMOCIONAL EIRELI - EPP	01/11/2016	31/10/2016		31/10/2016	FINALIZADO	01/11/2016	03/11/2016	ATICA	1	500	10	66,5	250330
ATI33135	33135	FORMA CERTA GRAFICA DIGITAL LTDA	01/11/2016	31/10/2016		31/10/2016	FINALIZADO	01/11/2016	21/11/2016	ATICA	1	6	6,48	60,92	250329
ATI33193	33193	FORMA CERTA GRAFICA DIGITAL LTDA	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	03/11/2016	25/11/2016	ATICA	1	608	790,23	6173,02	250479
SER1346310	1346310	CENTRO EDUC JD ORQUIDEAS S/S LTDA EPP	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	03/11/2016	03/11/2016	SER	1	1	0,37	64,5	250423
SER1346327	1346327	INSTITUTO DE APRENDER EDUCACAO LTDA - ME	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	03/11/2016	07/11/2016	SER	7	8	4,7	282,9	250448
ATI1346336	1346336	B.M.B. DISTRIBUIDORA DE LIVROS LTDA	01/11/2016	01/11/2016	01/11/2016	01/11/2016	FINALIZADO	03/11/2016	04/11/2016	ATICA	21	206	35,576	3650,92	250452
ATI33204	33204	FORMA CERTA GRAFICA DIGITAL LTDA	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	01/11/2016	16/11/2016	ATICA	1	703	752,21	7137,56	250342
ATI1346340	1346340	ORLA COMERCIO E DISTRIBUIDORA DE LIVROS LTDA - EPP	01/11/2016	01/11/2016	01/11/2016	01/11/2016	FINALIZADO	03/11/2016	03/11/2016	ATICA	1	9	1,26	248,31	250439
SER1346358	1346358	CENTRO EDUCACIONAL JOAO PAULO II	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	03/11/2016	03/11/2016	SER	32	32	17,003	400,93	250431
ATI1346361	1346361	LIVRARIA DA FOLHA LTDA.	01/11/2016	01/11/2016	01/11/2016	01/11/2016	FINALIZADO	03/11/2016	04/11/2016	ATICA	28	36	28,442	2577	250447
SER1346362	1346362	ESCOLA MARQUES SOUZA LTDA - ME	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	03/11/2016	04/11/2016	SER	23	23	9,298	351,44	250488
ATI1346359	1346359	LIVRARIA DA TRAVESSA LTDA	01/11/2016	01/11/2016	04/11/2016	07/11/2016	FINALIZADO	07/11/2016	07/11/2016	ATICA	1	2	0,57	93,67	250594
ATI33207	33207	FORMA CERTA GRAFICA DIGITAL LTDA	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	03/11/2016	25/11/2016	ATICA	1	696	666,08	15540,29	250489
ATI1346401	1346401	RAMALIVROS DISTRIBUIDORA LTDA	01/11/2016	01/11/2016	01/11/2016	01/11/2016	FINALIZADO	02/11/2016	03/11/2016	ATICA	2	29	5,505	858,61	250404
ATI1346411	1346411	DE OLHO NO LIVRO DISTRIBUIDORA LTDA - EPP	01/11/2016	01/11/2016	01/11/2016	01/11/2016	FINALIZADO	02/11/2016	03/11/2016	ATICA	7	9	6,99	687,75	250380
SER1346425	1346425	MARIA VITORIA TAVARES DE ALMEIDA	01/11/2016	01/11/2016		01/11/2016	FINALIZADO	03/11/2016	04/11/2016	SER	1	4	2,16	24,35	250460
